DATA FOR THE RAMAN 2D_peak 										DATA FOR THE RAMAN G_peak 
FWHM    x_peakL     Ypeak       c								FWHM    x_peakL     Ypeak       c
29.59    2689.17    459.08    1051.95								10.14    1597.18    326.32    1042.84								
30.88    2688.55    458.27    1057.41								10.84    1596.51    335.44    1041.81								
29.74    2688.06    482.35    1055.84								10.46    1595.38    338.32    1043.85								
31.73    2687.18    493.68    1045.63								11.17    1594.54    323.17    1041.39								
30.60    2686.27    537.10    1072.69								11.45    1593.49    328.72    1067.72								
30.98    2685.02    562.00    1069.99								10.85    1591.55    338.05    1066.74								
30.58    2684.30    567.67    1080.30								11.90    1589.69    309.56    1067.23								
30.50    2683.23    609.49    1025.95								11.74    1587.99    297.68    1023.48								
30.91    2682.37    616.58    1033.39								15.87    1585.68    258.04    1020.48								
29.45    2681.93    634.41    1031.79								18.35    1584.77    208.80    1011.86								
31.59    2681.72    637.92    1008.88								20.20    1584.45    192.26    999.00								
31.45    2681.56    637.42    1005.04								19.64    1584.08    210.37    994.55								
29.73    2681.56    631.17    1002.79								15.86    1584.45    220.90    993.91								
31.08    2681.77    608.18    996.50								13.42    1585.77    276.49    990.57								
29.48    2682.31    573.27    1010.22								11.55    1587.32    322.19    984.90								
29.81    2682.40    540.73    1011.74								10.14    1588.76    327.39    996.98								
30.23    2682.64    514.43    1010.23								10.73    1589.87    336.35    996.91								
31.34    2682.73    501.67    1001.17								9.29    1590.85    356.72    998.32								
29.90    2682.86    486.20    1008.59								9.34    1591.99    361.84    999.47								
30.59    2683.04    462.93    1002.50								9.56    1592.41    348.31    995.56								
